links,names,ratings,price for one,cuisine,images,address,timing,contact
https://www.zomato.com/visakhapatnam/house-of-spice-mvp-colony-vizag/info,House Of Spice,3.9,₹500 for two,"South Indian, Biryani",https://b.zmtcdn.com/data/pictures/4/21087494/ba10af7cd15d23da01343071eb59d214_featured_v2.jpg,"MVP Colony, Vizag",Opens at 7:15pm,+919356793456
https://www.zomato.com/visakhapatnam/beach-house-vishalaksmi-nagar-vizag/info,Beach House,3.9,"₹1,000 for two","South Indian, Fast Food, Chinese, Bar Food",https://b.zmtcdn.com/data/pictures/0/20562990/ebd2e9e663ecfb401c562eba4e8d33b2_featured_v2.jpg,"Vishalaksmi Nagar, Vizag",,+919111954445
https://www.zomato.com/visakhapatnam/s-kotas-hotel-muntaj-venkojipalem-vizag/info,S Kota's Hotel Muntaj,3.4,₹500 for two,"North Indian, Chinese, Biryani",https://b.zmtcdn.com/data/pictures/6/19928936/5150dc61802d0fd7c659fa0a6783d7ba_featured_v2.jpg,"Venkojipalem, Vizag",,+916303671467
https://www.zomato.com/visakhapatnam/rasa-hotel-vivana-siripuram-vizag/info,Rasa - Hotel Vivana,4.3,₹700 for two,"Chinese, North Indian, Continental, South Indian, Biryani, Kebab, Desserts",https://b.zmtcdn.com/data/pictures/9/18466809/40af300936ba5d05938a8038d37b3ded_featured_v2.jpg,"Siripuram, Vizag",Opens at 7pm,+917337337200
https://www.zomato.com/visakhapatnam/habibi-cafe-mandi-restaurant-balayya-sastri-layout-vizag/info,Habibi Cafe Mandi Restaurant,3.6,"₹1,200 for two","Mandi, South Indian, Mughlai, Biryani, Seafood, Chinese, Kebab, Desserts",https://b.zmtcdn.com/data/pictures/7/21078727/73f4f227bdb2d4931f6d4b48f0a9486f_featured_v2.jpg,"Balayya Sastri Layout, Vizag",,+918855012012
https://www.zomato.com/visakhapatnam/varuns-eat-maharani-peta-vizag/info,Varun's Eat,3.8,"₹1,000 for two","North Indian, South Indian, Chinese, Kebab, Biryani, Desserts, Shake, Beverages",https://b.zmtcdn.com/data/pictures/9/2800049/5ee2592c2fb10e2a50551b207da16402_featured_v2.jpg,"Maharani Peta, Vizag",,+918912723384
https://www.zomato.com/visakhapatnam/lazeez-pista-haleem-point-allipuram-vizag/info,Lazeez Pista Haleem Point,2.6,₹400 for two,"Biryani, North Indian, Desserts",https://b.zmtcdn.com/data/pictures/8/19362128/bfc9606f946c91228d8b9644fba36be7_featured_v2.jpg,"Allipuram, Vizag",,+919848652554
https://www.zomato.com/visakhapatnam/biryanis-and-more-2-siripuram-vizag/info,Biryanis And More,4.2,₹800 for two,"Biryani, South Indian, Chinese, Andhra, Sichuan",https://b.zmtcdn.com/data/pictures/chains/7/19062497/4a3416212c890cdde2ce87b19a3fa1aa_featured_v2.jpg,"Siripuram, Vizag",,+919551182222
https://www.zomato.com/visakhapatnam/zodiac-fortune-inn-sree-kanya-dwaraka-nagar-vizag/info,Zodiac - Fortune Inn Sree Kanya,3.7,"₹1,300 for two","Continental, North Indian, Chinese, South Indian, Oriental, Biryani, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/7/2800057/7bfe535ceaae0b4082bd54fc775fb910_featured_v2.jpg,"Dwaraka Nagar, Vizag",,+918916688444
https://www.zomato.com/visakhapatnam/dine-destiny-lawsons-bay-vizag/info,Dine Destiny,4.0,₹600 for two,"Biryani, North Indian, Mughlai, Continental, Chinese, Beverages, Seafood, Italian",https://b.zmtcdn.com/data/pictures/1/20039691/85654c95e7d953222df4d53abb58e2b5_featured_v2.jpg,"Lawsons Bay, Vizag",,+919522828289
https://www.zomato.com/visakhapatnam/biryanis-lounge-dwaraka-nagar-vizag/info,Biryanis Lounge,3.9,₹200 for two,Biryani,https://b.zmtcdn.com/data/pictures/4/20717154/88b20fbbe838de25c616f692783c7cd6_featured_v2.jpg,"Dwaraka Nagar, Vizag",,+919000124944
https://www.zomato.com/visakhapatnam/bamboo-bay-the-park-lawsons-bay-vizag/info,Bamboo Bay - The Park,3.9,"₹1,500 for two","North Indian, Mughlai, Andhra, Kerala, South Indian",https://b.zmtcdn.com/data/pictures/3/2800043/7a6c9391ee37c6fbe064e22018df0db3_featured_v2.jpg,"Lawsons Bay, Vizag",Opens at 7pm,+918913045678
https://www.zomato.com/visakhapatnam/sea-deck-kirlampudi-layout-vizag/info,Sea Deck,3.8,"₹1,500 for two","South Indian, Seafood, North Indian, Continental",https://b.zmtcdn.com/data/pictures/9/2800879/746b07ab7b04b79452be11c9d50c1f9c_featured_v2.jpg,"Kirlampudi Layout, Vizag",Opens at 7pm,+916309008983
